finding,addr,entry_or_via,glyphs,n,sample
interior-target,080496C0,080496C8,,,女：{n}やっぱり　あたしが　1番よね{n}どう！　この魔力9のダンス！{WAI
interior-target,0804974C,0804974E,,,……では　優勝者の発表だ！{n}優勝は…………{WAIT}
interior-target,08049814,08049816,,,でも　入んなくて　よかったよ{n}今じゃ　おちぶれた{n}ビンボージムだぜ{n}
interior-target,08049D8C,08049D8E,,,そういえば　最近　仮想空間で{n}変な　車いすの男が出るって{n}言われるのよぉ
interior-target,08049F94,08049FA0,,,男：{n}こら！　ここに入っちゃ{n}ダメだっての{WAIT}{PAGE}人を入
interior-target,0804A00E,0804A022,,,花田：{n}きさま！　ここは大天才科学者{n}ドクター花田様の研究所だ！{n}入
interior-target,0804A93E,0804A682,,,ドワーフ：{n}こご掘ると武器出でくるだよ{n}売り飛ばせば　いい儲けだ{WAI
interior-target,0804A97C,0804A97E,,,自分の手ぇ　汚して働かねえと{n}バチ当たっぞ{WAIT}{=2904}<219
interior-target,0804AA74,0804AA7C,,,鍛冶屋：{n}見ての通り　いそがしいんだ{n}ひやかしなら　帰ってくれ{WAIT
interior-target,0804AC7C,0804AC7E,,,……持物を減らしてきな{WAIT}
interior-target,0804B1F0,0804AF08,,,＞誰もいない……{WAIT}{=0f03}<B570>銀{=0403}
interior-target,0804B222,0804AF08,,,＞誰もいない……{WAIT}{=0f03}<B570>銀{=0403}
interior-target,0804B33C,0804AF08,,,＞誰もいない……{WAIT}{=0f03}<B570>銀{=0403}
interior-target,0804B3F4,0804AF08,,,＞誰もいない……{WAIT}{=0f03}<B570>銀{=0403}
interior-target,0804B460,0804AF08,,,＞誰もいない……{WAIT}{=0f03}<B570>銀{=0403}
interior-target,0804B786,0804B788,,,私の裁きに　力をかしてくれ{n}魔王ルシファーに{n}天罰を与えよう{WAIT}
interior-target,0804B896,0804B788,,,私の裁きに　力をかしてくれ{n}魔王ルシファーに{n}天罰を与えよう{WAIT}
interior-target,0804B8F2,0804B788,,,私の裁きに　力をかしてくれ{n}魔王ルシファーに{n}天罰を与えよう{WAIT}
interior-target,0804B972,0804B910,,,待ったぞ　{ALEPH}{n}行こう　新たな世界のために！{WAIT}{=0f0
interior-target,0804B97A,0804B910,,,待ったぞ　{ALEPH}{n}行こう　新たな世界のために！{WAIT}{=0f0
interior-target,0804BA14,0804B910,,,待ったぞ　{ALEPH}{n}行こう　新たな世界のために！{WAIT}{=0f0
interior-target,0804BA4A,0804BA52,,,おお　まさしく選ばれし者{n}さあ　楽園へ入るがよい{WAIT}{PAGE}＞フ
interior-target,0804BD0A,0804BCA2,,,ガブリエル：{n}ここは　おまえ達が{n}入れるような所ではない{WAIT}{P
interior-target,0804BD74,0804BCA2,,,ガブリエル：{n}ここは　おまえ達が{n}入れるような所ではない{WAIT}{P
interior-target,0804D266,0804CBC0,,,もう私達には　頼るもの{n}すがるものは　何も無いのね{WAIT}{=1503}
interior-target,0804D6C2,0804D6C4,,,”{=2103}”は{n}あんたにやるよ{WAIT}{PAGE}これを見てると　
interior-target,0804DCEA,0804DC72,,,＞{GIMMEL}が{n}牢に入っている{WAIT}{PAGE}{GIMMEL}
interior-target,0804DCF6,0804DC72,,,＞{GIMMEL}が{n}牢に入っている{WAIT}{PAGE}{GIMMEL}
interior-target,0804DD52,0804DC72,,,＞{GIMMEL}が{n}牢に入っている{WAIT}{PAGE}{GIMMEL}
interior-target,0804DD7A,0804DD8A,,,何するの？　やめてよ！{n}私は　ここにいるの！{n}やめて！{WAIT}{PA
interior-target,0804DEA8,0804DD8A,,,何するの？　やめてよ！{n}私は　ここにいるの！{n}やめて！{WAIT}{PA
interior-target,0804DEEE,0804DD8A,,,何するの？　やめてよ！{n}私は　ここにいるの！{n}やめて！{WAIT}{PA
interior-target,0804E56C,0804E542,,,テンプルナイト：{n}ここは立入禁止だ{WAIT}{=0f03}<E592>銀{
interior-target,0804E6AE,0804E666,,,この奥にいる人達は{n}ぼくが解放する{WAIT}{PAGE}{ALEPH}は{
interior-target,0804EFBE,0804EFCA,,,男：{n}{ZAYIN}って奴から{n}おまえに　伝言を頼まれてる{n}よく聞け
interior-target,0804F228,0804F22C,,,＞{=1e03}は{n}すでに倒した{WAIT}{=6b03}<5D0E><00
interior-target,0804F276,0804F27E,,,＞扉を開けて中に入りますか？{n}{=0e03}<F274>銀{=6b03}<5
interior-target,0804F2AA,0804F2AC,,,＞扉を開けて外に出ますか？{n}{=0e03}<F274>銀{=6b03}<5C
interior-target,0804F346,0804F2F2,,,＞妖鳥セイレーンがいる{WAIT}{PAGE}セイレーンは　悲しげな声で{n}歌
interior-target,0804F522,0804F2F2,,,＞妖鳥セイレーンがいる{WAIT}{PAGE}セイレーンは　悲しげな声で{n}歌
interior-target,0804F57C,0804F58C,,,テンプルナイト：{n}ただいま　ファクトリーへ{n}市民の方は入れません{n}悪
interior-target,0804F584,0804F58C,,,テンプルナイト：{n}ただいま　ファクトリーへ{n}市民の方は入れません{n}悪
interior-target,0804F630,0804F5E2,,,テンプルナイト：{n}センターから話は聞いています{n}どうぞ　お通り下さい{W
interior-target,0804F7AA,0804F718,,,{=1e03}：{n}あんたいい男ね　気に入ったわ{n}仲魔になってあげるっ{W
interior-target,0804F7E0,0804F718,,,{=1e03}：{n}あんたいい男ね　気に入ったわ{n}仲魔になってあげるっ{W
interior-target,0804F8D6,0804F8DE,,,{=1e03}：{n}えーっ　あたしの　いるとこ{n}ないじゃないのーっ{WAI
interior-target,0804FA62,0804FA64,,,なにぃ{n}引き下がっちゃうのぉ？{n}なんだ{n}引き下がっちまうのか？{WA
interior-target,0804FAD6,0804FA64,,,なにぃ{n}引き下がっちゃうのぉ？{n}なんだ{n}引き下がっちまうのか？{WA
interior-target,0804FC5C,0804FC1C,,,＞収容所内への通路がある{n}中に入りますか？{n}{=0e03}<FC10>銀
interior-target,0804FCA0,0804FC1C,,,＞収容所内への通路がある{n}中に入りますか？{n}{=0e03}<FC10>銀
interior-target,08050396,08050398,,,そうですか………{WAIT}
interior-target,0805062C,0805062E,,,そうですか………{WAIT}
interior-target,0805098A,080509B8,,,私は　妖精の王である{WAIT}{PAGE}妖精の1人も　連れておらぬ{n}人間
interior-target,0805099C,080509B8,,,私は　妖精の王である{WAIT}{PAGE}妖精の1人も　連れておらぬ{n}人間
interior-target,080509AE,080509B8,,,私は　妖精の王である{WAIT}{PAGE}妖精の1人も　連れておらぬ{n}人間
interior-target,08050A12,08050A1C,,,妖精を仲魔にしておるのか{n}妖精の願いなら{n}聞いてやらん事もないが{WAI
interior-target,08050B5C,08050B6A,,,早く”{=2103}”を{n}取ってくるのだ{WAIT}
interior-target,08050BFA,08050BFE,,,＞{=1e03}は　もういない{WAIT}
interior-target,08051134,080510AC,,,パック：{n}あーあ　見つかっちまったよ…{WAIT}{PAGE}”{=2103
interior-target,080511AE,080510AC,,,パック：{n}あーあ　見つかっちまったよ…{WAIT}{PAGE}”{=2103
interior-target,080511C0,080510AC,,,パック：{n}あーあ　見つかっちまったよ…{WAIT}{PAGE}”{=2103
interior-target,0805120C,080510AC,,,パック：{n}あーあ　見つかっちまったよ…{WAIT}{PAGE}”{=2103
interior-target,08051242,080510AC,,,パック：{n}あーあ　見つかっちまったよ…{WAIT}{PAGE}”{=2103
interior-target,080512E8,080510AC,,,パック：{n}あーあ　見つかっちまったよ…{WAIT}{PAGE}”{=2103
interior-target,080513DC,080510AC,,,パック：{n}あーあ　見つかっちまったよ…{WAIT}{PAGE}”{=2103
interior-target,0805148C,080510AC,,,パック：{n}あーあ　見つかっちまったよ…{WAIT}{PAGE}”{=2103
interior-target,080516E6,080515E2,,,パック：{n}あっ！　あんたは{WAIT}{PAGE}{ALEPH}！{n}こり
interior-target,0805180A,0805180C,,,魔封じの玉を使った！{=0303}【{=5803}〜{=5e03}<FF0D>{
interior-target,0805193C,08051912,,,ヒルコの声：{n}そのほこらの中に入るのだ{WAIT}{PAGE}＞ほこらの中に
interior-target,080519DE,08051912,,,ヒルコの声：{n}そのほこらの中に入るのだ{WAIT}{PAGE}＞ほこらの中に
interior-target,08051A06,08051912,,,ヒルコの声：{n}そのほこらの中に入るのだ{WAIT}{PAGE}＞ほこらの中に
interior-target,08051A5A,08051912,,,ヒルコの声：{n}そのほこらの中に入るのだ{WAIT}{PAGE}＞ほこらの中に
interior-target,08051B06,08051912,,,ヒルコの声：{n}そのほこらの中に入るのだ{WAIT}{PAGE}＞ほこらの中に
interior-target,08051B70,08051912,,,ヒルコの声：{n}そのほこらの中に入るのだ{WAIT}{PAGE}＞ほこらの中に
interior-target,08051BCC,08051912,,,ヒルコの声：{n}そのほこらの中に入るのだ{WAIT}{PAGE}＞ほこらの中に
interior-target,08051C40,08051C16,,,ヒルコの声：{n}そのほこらの中に入るのだ{WAIT}{PAGE}＞ほこらの中に
interior-target,08051E14,08051E0E,,,{=1e03}：{n}ヒルコから話を聞いたか{n}では　これで何をすればいいかは
interior-target,08051E7C,08051E88,,,＞{=1e03}は　いない{WAIT}
interior-target,08051EE6,08051EBC,,,ヒルコの声：{n}そのほこらの中に入るのだ{WAIT}{PAGE}＞ほこらの中に
interior-target,08052028,08051EBC,,,ヒルコの声：{n}そのほこらの中に入るのだ{WAIT}{PAGE}＞ほこらの中に
interior-target,08052074,08051EBC,,,ヒルコの声：{n}そのほこらの中に入るのだ{WAIT}{PAGE}＞ほこらの中に
interior-target,080520D8,080520B0,,,＞ほこらの入□は{n}閉ざされている{WAIT}{=0f03}<214C>九{=
interior-target,0805210A,080520B0,,,＞ほこらの入□は{n}閉ざされている{WAIT}{=0f03}<214C>九{=
interior-target,08052194,0805216C,,,＞ほこらの入□は{n}閉ざされている{WAIT}{=0f03}<2208>九{=
interior-target,080521C6,0805216C,,,＞ほこらの入□は{n}閉ざされている{WAIT}{=0f03}<2208>九{=
interior-target,08052794,080527B8,,,＞岩戸は{n}かたく閉ざされている{WAIT}{=0f03}<2A52>九{=0
interior-target,0805279A,080527B8,,,＞岩戸は{n}かたく閉ざされている{WAIT}{=0f03}<2A52>九{=0
interior-target,080527DE,080527B8,,,＞岩戸は{n}かたく閉ざされている{WAIT}{=0f03}<2A52>九{=0
interior-target,080529EE,080527B8,,,＞岩戸は{n}かたく閉ざされている{WAIT}{=0f03}<2A52>九{=0
interior-target,08052A22,080527B8,,,＞岩戸は{n}かたく閉ざされている{WAIT}{=0f03}<2A52>九{=0
interior-target,08052EF6,08052EFA,,,＞{=1e03}は{n}すでに封印を解かれた{WAIT}
interior-target,08053012,08053016,,,＞{=1e03}は{n}すでに封印を解かれた{WAIT}
interior-target,08053120,08053124,,,＞{=1e03}は{n}すでに封印を解かれた{WAIT}
interior-target,0805326C,08053270,,,＞{=1e03}は{n}すでに封印を解かれた{WAIT}
interior-target,08053354,08053358,,,＞{=1e03}は{n}すでに封印を解かれた{WAIT}
interior-target,08053408,080533AA,,,我が配下の十二神将を{n}みな倒したのか{WAIT}{PAGE}だが　ルシファー
interior-target,080534F0,080533AA,,,我が配下の十二神将を{n}みな倒したのか{WAIT}{PAGE}だが　ルシファー
interior-target,0805357C,080533AA,,,我が配下の十二神将を{n}みな倒したのか{WAIT}{PAGE}だが　ルシファー
interior-target,08053620,080535D2,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,080536B0,080535D2,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053700,080535D2,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,080537B8,0805376A,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053848,0805376A,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053898,0805376A,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053950,08053902,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,080539E0,08053902,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053A30,08053902,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053AE8,08053A9A,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053B78,08053A9A,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053BC8,08053A9A,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053C80,08053C32,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053D10,08053C32,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053D60,08053C32,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053E18,08053DCA,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053EA8,08053DCA,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053EF8,08053DCA,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08053FB0,08053F62,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08054040,08053F62,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08054090,08053F62,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08054148,080540FA,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,080541D8,080540FA,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08054228,080540FA,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,080542E0,08054292,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08054370,08054292,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,080543C0,08054292,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08054478,0805442A,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08054508,0805442A,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08054558,0805442A,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08054610,080545C2,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,080546A0,080545C2,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,080546F0,080545C2,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,080547A8,0805475A,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08054838,0805475A,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,08054888,0805475A,,,見参！{WAIT}{PAGE}十二神将の1に数えられる{n}我が名にかけても{n
interior-target,080548F6,08054904,,,＞誰かが　ここで{n}魔界への入□を　開けようと{n}してるらしい{WAIT}{
interior-target,08054902,08054904,,,＞誰かが　ここで{n}魔界への入□を　開けようと{n}してるらしい{WAIT}{
interior-target,08054A90,08054904,,,＞誰かが　ここで{n}魔界への入□を　開けようと{n}してるらしい{WAIT}{
interior-target,08054AD6,08054904,,,＞誰かが　ここで{n}魔界への入□を　開けようと{n}してるらしい{WAIT}{
interior-target,08054B20,08054904,,,＞誰かが　ここで{n}魔界への入□を　開けようと{n}してるらしい{WAIT}{
interior-target,08054B24,08054904,,,＞誰かが　ここで{n}魔界への入□を　開けようと{n}してるらしい{WAIT}{
interior-target,08054B6A,08054904,,,＞誰かが　ここで{n}魔界への入□を　開けようと{n}してるらしい{WAIT}{
interior-target,08054B6E,08054904,,,＞誰かが　ここで{n}魔界への入□を　開けようと{n}してるらしい{WAIT}{
interior-target,08054BF4,08054904,,,＞誰かが　ここで{n}魔界への入□を　開けようと{n}してるらしい{WAIT}{
interior-target,08054E4E,08054904,,,＞誰かが　ここで{n}魔界への入□を　開けようと{n}してるらしい{WAIT}{
interior-target,08054FF4,08054904,,,＞誰かが　ここで{n}魔界への入□を　開けようと{n}してるらしい{WAIT}{
interior-target,08055014,08054904,,,＞誰かが　ここで{n}魔界への入□を　開けようと{n}してるらしい{WAIT}{
interior-target,0805551C,080554F2,,,＞セトは封印され{n}眠りについている{WAIT}{=0f03}<579C>九{
interior-target,08055556,080554F2,,,＞セトは封印され{n}眠りについている{WAIT}{=0f03}<579C>九{
interior-target,080555C8,080554F2,,,＞セトは封印され{n}眠りについている{WAIT}{=0f03}<579C>九{
interior-target,0805577C,080554F2,,,＞セトは封印され{n}眠りについている{WAIT}{=0f03}<579C>九{
interior-target,08055956,080558FC,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}”{=2103}”を置き
interior-target,08055970,080558FC,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}”{=2103}”を置き
interior-target,08055A90,08055A36,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}”{=2103}”を置き
interior-target,08055AAA,08055A36,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}”{=2103}”を置き
interior-target,08055BCA,08055B70,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}”{=2103}”を置き
interior-target,08055BE4,08055B70,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}”{=2103}”を置き
interior-target,08055D04,08055CAA,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}”{=2103}”を置き
interior-target,08055D1E,08055CAA,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}”{=2103}”を置き
interior-target,08055E3E,08055DE4,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}”{=2103}”を置き
interior-target,08055E58,08055DE4,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}”{=2103}”を置き
interior-target,08055F78,08055F1E,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}”{=2103}”を置き
interior-target,08055F92,08055F1E,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}”{=2103}”を置き
interior-target,080560C8,080560E2,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}{ALEPH}達は{n}
interior-target,08056166,08056180,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}{ALEPH}達は{n}
interior-target,08056204,0805621E,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}{ALEPH}達は{n}
interior-target,080562A2,080562BC,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}{ALEPH}達は{n}
interior-target,08056340,0805635A,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}{ALEPH}達は{n}
interior-target,080563DE,080563F8,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}{ALEPH}達は{n}
interior-target,0805647C,08056496,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}{ALEPH}達は{n}
interior-target,0805651A,08056534,,,＞”{=2103}”が輝きだした{WAIT}{PAGE}{ALEPH}達は{n}
interior-target,0805677A,0805661C,,,{=1e03}：{n}方舟は　新しい世界で生きる{n}能力を持った人間しか{n}
interior-target,08056788,0805661C,,,{=1e03}：{n}方舟は　新しい世界で生きる{n}能力を持った人間しか{n}
interior-target,080568F0,080567EC,,,{=1e03}：{n}来たか……{WAIT}{PAGE}救世主をつくるという{n
interior-target,080568FE,080567EC,,,{=1e03}：{n}来たか……{WAIT}{PAGE}救世主をつくるという{n
interior-target,08056A4C,08056962,,,{=1e03}：{n}神の意に反して　生み出され{n}悪魔を召喚して使い　戦いに
interior-target,08056A5A,08056962,,,{=1e03}：{n}神の意に反して　生み出され{n}悪魔を召喚して使い　戦いに
interior-target,08056BF2,08056BF6,,,声：{n}よくやった　サタンよ{n}{ALEPH}を　ともない{n}我が下へ　来
interior-target,08057020,08056BF6,,,声：{n}よくやった　サタンよ{n}{ALEPH}を　ともない{n}我が下へ　来
interior-target,0805742C,08056BF6,,,声：{n}よくやった　サタンよ{n}{ALEPH}を　ともない{n}我が下へ　来
interior-target,08057588,08056BF6,,,声：{n}よくやった　サタンよ{n}{ALEPH}を　ともない{n}我が下へ　来
interior-target,080575CC,08056BF6,,,声：{n}よくやった　サタンよ{n}{ALEPH}を　ともない{n}我が下へ　来
interior-target,0805766C,08057626,,,声：{n}誰だ！？{n}サタンを倒したのは？{n}我が下へ来て　姿を見せよ{WA
interior-target,080576AE,08057626,,,声：{n}誰だ！？{n}サタンを倒したのは？{n}我が下へ来て　姿を見せよ{WA
interior-target,080576B8,08057626,,,声：{n}誰だ！？{n}サタンを倒したのは？{n}我が下へ来て　姿を見せよ{WA
interior-target,080576E6,08057626,,,声：{n}誰だ！？{n}サタンを倒したのは？{n}我が下へ来て　姿を見せよ{WA
interior-target,080576FE,08057626,,,声：{n}誰だ！？{n}サタンを倒したのは？{n}我が下へ来て　姿を見せよ{WA
interior-target,08057708,08057626,,,声：{n}誰だ！？{n}サタンを倒したのは？{n}我が下へ来て　姿を見せよ{WA
interior-target,08057752,08057626,,,声：{n}誰だ！？{n}サタンを倒したのは？{n}我が下へ来て　姿を見せよ{WA
interior-target,0805777C,08057784,,,声：{n}数え切れぬほどの命を{n}もて遊びたる{n}呪われし者どもよ…{WAI
interior-target,080577C8,08057784,,,声：{n}数え切れぬほどの命を{n}もて遊びたる{n}呪われし者どもよ…{WAI
interior-target,08057C60,08057826,,,YHVH：{n}我が名を　称えよ{WAIT}{PAGE}我が　栄光に満ちた{n}
interior-target,08058196,08057826,,,YHVH：{n}我が名を　称えよ{WAIT}{PAGE}我が　栄光に満ちた{n}
interior-target,08058774,0805878C,,,岡本：{n}まったく{n}チャンプさまさまだなぁ{WAIT}{PAGE}ジムもり
interior-target,08058C92,0805878C,,,岡本：{n}まったく{n}チャンプさまさまだなぁ{WAIT}{PAGE}ジムもり
interior-target,08058C96,0805878C,,,岡本：{n}まったく{n}チャンプさまさまだなぁ{WAIT}{PAGE}ジムもり
interior-target,08058EF8,08058EFE,,,もうあなたしか　頼れないの！{n}お願い！{=0e03}<8F54>九{PAGE
interior-target,08058F54,08058EFE,,,もうあなたしか　頼れないの！{n}お願い！{=0e03}<8F54>九{PAGE
interior-target,08058F92,08058EFE,,,もうあなたしか　頼れないの！{n}お願い！{=0e03}<8F54>九{PAGE
interior-target,08059066,0805906E,,,岡本：{n}ヴァルハラは{n}悪魔が出てこねぇ{n}エリアだったがなぁ{WAIT
interior-target,080590AC,080590B4,,,岡本：{n}ホーク……いや{n}{ALEPH}って{n}いうんだったな{WAIT
interior-target,08059110,08059118,,,岡本：{n}ホ　ホーク！{n}…じゃなかった{WAIT}{PAGE}{ALEPH
interior-target,0805970A,08059712,,,＞{=1e03}は{n}もういない{WAIT}
interior-target,0805984C,0805975C,,,車椅子の男：{n}やあ　私は悪魔じゃないよ{WAIT}{PAGE}君に会うため{
interior-target,08059B8E,0805975C,,,車椅子の男：{n}やあ　私は悪魔じゃないよ{WAIT}{PAGE}君に会うため{
interior-target,08059D2C,0805975C,,,車椅子の男：{n}やあ　私は悪魔じゃないよ{WAIT}{PAGE}君に会うため{
interior-target,08059D3A,0805975C,,,車椅子の男：{n}やあ　私は悪魔じゃないよ{WAIT}{PAGE}君に会うため{
interior-target,08059F14,0805975C,,,車椅子の男：{n}やあ　私は悪魔じゃないよ{WAIT}{PAGE}君に会うため{
interior-target,08059F22,0805975C,,,車椅子の男：{n}やあ　私は悪魔じゃないよ{WAIT}{PAGE}君に会うため{
interior-target,0805A0CA,0805975C,,,車椅子の男：{n}やあ　私は悪魔じゃないよ{WAIT}{PAGE}君に会うため{
interior-target,0805A0D8,0805975C,,,車椅子の男：{n}やあ　私は悪魔じゃないよ{WAIT}{PAGE}君に会うため{
interior-target,0805A5D4,0805A49A,,,声：{n}やっと　追いつきましたわ{n}ルシファー様{WAIT}{=0e04}。
interior-target,0805A68C,0805A694,,,主：{n}悪魔が集いし{n}邪教の館にようこそ{WAIT}{PAGE}なんの用じ
interior-target,0805A692,0805A694,,,主：{n}悪魔が集いし{n}邪教の館にようこそ{WAIT}{PAGE}なんの用じ
interior-target,0805A6BC,0805A694,,,主：{n}悪魔が集いし{n}邪教の館にようこそ{WAIT}{PAGE}なんの用じ
interior-target,0805A780,0805A782,,,仲魔がふえたら{n}また来るがよい{WAIT}{=2f04}{=0704}<00
interior-target,0805A860,0805A862,,,この合体でつかえる剣がたりぬぞ{WAIT}{PAGE}{=0f03}<A6BC>
interior-target,0805A962,0805A964,,,悪魔は成長することがない{WAIT}{PAGE}そこでより強い悪魔を手に入れる{
interior-target,0805ADD2,0805A964,,,悪魔は成長することがない{WAIT}{PAGE}そこでより強い悪魔を手に入れる{
interior-target,0805AF6C,0805A964,,,悪魔は成長することがない{WAIT}{PAGE}そこでより強い悪魔を手に入れる{
interior-target,0805B1D0,0805A964,,,悪魔は成長することがない{WAIT}{PAGE}そこでより強い悪魔を手に入れる{
interior-target,0805B450,0805A964,,,悪魔は成長することがない{WAIT}{PAGE}そこでより強い悪魔を手に入れる{
interior-target,0805B540,0805A964,,,悪魔は成長することがない{WAIT}{PAGE}そこでより強い悪魔を手に入れる{
interior-target,0805B77A,0805A964,,,悪魔は成長することがない{WAIT}{PAGE}そこでより強い悪魔を手に入れる{
interior-target,0805B9BE,0805A964,,,悪魔は成長することがない{WAIT}{PAGE}そこでより強い悪魔を手に入れる{
interior-target,0805BF68,0805A964,,,悪魔は成長することがない{WAIT}{PAGE}そこでより強い悪魔を手に入れる{
interior-target,0805C06A,0805A964,,,悪魔は成長することがない{WAIT}{PAGE}そこでより強い悪魔を手に入れる{
interior-target,0805C0FA,0805A964,,,悪魔は成長することがない{WAIT}{PAGE}そこでより強い悪魔を手に入れる{
interior-target,0805C150,0805A964,,,悪魔は成長することがない{WAIT}{PAGE}そこでより強い悪魔を手に入れる{
interior-target,0805C16E,0805C170,,,宝石”{=2103}”を{n}手に入れた{WAIT}{=7903}{=2d03}
interior-target,0805C21A,0805C21C,,,ウェーン！{n}ひどいよー　ひどいよー！{n}わたしのいうこと　きいて{n}くれ
interior-target,0805C4A8,0805C4AA,,,いらっしゃい　用件はなんだい？{=1303}d <C8FA>九'<C682>九\
interior-target,0805C4E4,0805C4E6,,,いらっしゃい　用件はなんだい？{=1303}
interior-target,0805C526,0805C528,,,いらっしゃい　用件はなんだい？{=1303}d/<D336>九'<C6FA>九\
interior-target,0805C562,0805C564,,,"いらっしゃい　用件はなんだい？{=1303}{=0104}""<D216>九!<C"
interior-target,0805C5AA,0805C5AC,,,"いらっしゃい　用件はなんだい？{=1303}<0501> <C8FA>九""<D2"
interior-target,0805C5F8,0805C5FA,,,"いらっしゃい　用件はなんだい？{=1303}{=0104} <C8FA>九""<D"
interior-target,0805C640,0805C642,,,いらっしゃい　用件はなんだい？{=1303}
interior-target,0805C8E2,0805C8E4,,,また来てくれよ！{WAIT}{n}
interior-target,0805C8FA,0805C924,,,どのアイテムを修復するんだい？{=0f03}<C9E6>九どのアイテムを修復する
interior-target,0805C948,0805C924,,,どのアイテムを修復するんだい？{=0f03}<C9E6>九どのアイテムを修復する
interior-target,0805C966,0805C924,,,どのアイテムを修復するんだい？{=0f03}<C9E6>九どのアイテムを修復する
interior-target,0805C986,0805C924,,,どのアイテムを修復するんだい？{=0f03}<C9E6>九どのアイテムを修復する
interior-target,0805C9A8,0805C924,,,どのアイテムを修復するんだい？{=0f03}<C9E6>九どのアイテムを修復する
interior-target,0805C9CA,0805C924,,,どのアイテムを修復するんだい？{=0f03}<C9E6>九どのアイテムを修復する
